ID	тЮИК	йМХЦЮ	яРПСЙРСПЮ	кХЯР	ьЮАКНМ	яЛЕЫЕМХЕцНД	цПСООЮ	нц	нОЖХЪ	дНКЪ
1	D:\Sergey\люйпняш\220623 ExcelDNA\Samples\SamplesADOData\Folder1\test1.xlsx	test1.xlsx		Sheet1	реяр_ьюакнм		пХд	нц1	лЕЯР1	1
2	D:\Sergey\люйпняш\220623 ExcelDNA\Samples\SamplesADOData\Folder1\test1.xlsx	test1.xlsx		Sheet2	реяр_ьюакнм		пХд	нц1	лЕЯР2	1
3	D:\Sergey\люйпняш\220623 ExcelDNA\Samples\SamplesADOData\Folder1\test1.xlsx	test1.xlsx		Sheet3	реяр_ьюакнм		пХд	нц1	лЕЯР3	1
4	D:\Sergey\люйпняш\220623 ExcelDNA\Samples\SamplesADOData\Folder1\test2.xlsm	test2.xlsx		Sheet1	реяр_ьюакнм		пХд	нц1	лЕЯР4	0,5
5	D:\Sergey\люйпняш\220623 ExcelDNA\Samples\SamplesADOData\Folder1\test2.xlsm	test2.xlsx		Sheet2	реяр_ьюакнм		пХд	нц1	лЕЯР5	0,5
6	D:\Sergey\люйпняш\220623 ExcelDNA\Samples\SamplesADOData\Folder1\test2.xlsm	test2.xlsx		Sheet3	реяр_ьюакнм		пХд	нц1	лЕЯР6	0,5
7	D:\Sergey\люйпняш\220623 ExcelDNA\Samples\SamplesADOData\Folder1\test3.xls	test3.xlsx		Sheet1	реяр_ьюакнм		пХд	нц1	лЕЯР7	1
8	D:\Sergey\люйпняш\220623 ExcelDNA\Samples\SamplesADOData\Folder1\test3.xls	test3.xlsx		Sheet2	реяр_ьюакнм		пХд	нц1	лЕЯР8	1
9	D:\Sergey\люйпняш\220623 ExcelDNA\Samples\SamplesADOData\Folder1\test3.xls	test3.xlsx		Sheet3	реяр_ьюакнм		пХд	нц1	лЕЯР9	1
10	D:\Sergey\люйпняш\220623 ExcelDNA\Samples\SamplesADOData\Folder1\test4.xlsb	test4.xlsx		Sheet1	реяр_ьюакнм		пХд	нц2	лЕЯР10	0,5
11	D:\Sergey\люйпняш\220623 ExcelDNA\Samples\SamplesADOData\Folder1\test4.xlsb	test4.xlsx		Sheet2	реяр_ьюакнм		пХд	нц2	лЕЯР11	0,5
12	D:\Sergey\люйпняш\220623 ExcelDNA\Samples\SamplesADOData\Folder1\test4.xlsb	test4.xlsx		Sheet3	реяр_ьюакнм		пХд	нц2	лЕЯР12	0,5
13	D:\Sergey\люйпняш\220623 ExcelDNA\Samples\SamplesADOData\Folder2\test1.xlsx	test1.xlsx		Sheet1	реяр_ьюакнм		пХд	нц2	лЕЯР13	1
14	D:\Sergey\люйпняш\220623 ExcelDNA\Samples\SamplesADOData\Folder2\test1.xlsx	test1.xlsx		Sheet2	реяр_ьюакнм		пХд	нц2	лЕЯР14	1
15	D:\Sergey\люйпняш\220623 ExcelDNA\Samples\SamplesADOData\Folder2\test1.xlsx	test1.xlsx		Sheet3	реяр_ьюакнм		пХд	нц2	лЕЯР15	1
16	D:\Sergey\люйпняш\220623 ExcelDNA\Samples\SamplesADOData\Folder2\test2.xlsm	test2.xlsx		Sheet1	реяр_ьюакнм		пХд	нц2	лЕЯР16	0,5
17	D:\Sergey\люйпняш\220623 ExcelDNA\Samples\SamplesADOData\Folder2\test2.xlsm	test2.xlsx		Sheet2	реяр_ьюакнм		пХд	нц2	лЕЯР17	0,5
18	D:\Sergey\люйпняш\220623 ExcelDNA\Samples\SamplesADOData\Folder2\test2.xlsm	test2.xlsx		Sheet3	реяр_ьюакнм		пХд	нц2	лЕЯР18	0,5
19	D:\Sergey\люйпняш\220623 ExcelDNA\Samples\SamplesADOData\Folder2\test3.xls	test3.xlsx		Sheet1	реяр_ьюакнм		пХд	нц3	лЕЯР19	1
20	D:\Sergey\люйпняш\220623 ExcelDNA\Samples\SamplesADOData\Folder2\test3.xls	test3.xlsx		Sheet2	реяр_ьюакнм		пХд	нц3	лЕЯР20	1
21	D:\Sergey\люйпняш\220623 ExcelDNA\Samples\SamplesADOData\Folder2\test3.xls	test3.xlsx		Sheet3	реяр_ьюакнм		пХд	нц3	лЕЯР21	1
22	D:\Sergey\люйпняш\220623 ExcelDNA\Samples\SamplesADOData\Folder2\test4.xlsb	test4.xlsx		Sheet1	реяр_ьюакнм		пХд	нц3	лЕЯР22	0,5
23	D:\Sergey\люйпняш\220623 ExcelDNA\Samples\SamplesADOData\Folder2\test4.xlsb	test4.xlsx		Sheet2	реяр_ьюакнм		пХд	нц3	лЕЯР23	0,5
