ID	Параметр	МФСО	Выбор	П5	ФормаПроизв	Compare
1	Параметр1	1	1	G1		
2	Параметр2	1	0	G2		
3	Параметр3	1	1	G3		G6
4	Параметр4	1	0	G4		
5	Параметр5	1	1	G5		
6	Параметр6	1	0	G6		G7
7	Параметр7	1	1	G7		
8	Параметр8	1	0	G8		
9	Параметр9	1	1	G9	J9	G8
10	Параметр10	1	0	G10	J10	
11	Параметр11	1	0	G11	J11	
12	Параметр12	1	0	G12	J12	G9
13	Параметр13	1	0	G13	J13	
14	Параметр14	1	0	G14	J14	
15	Параметр15	1	0	G15	J15	G10
16	Параметр16	0	0	G16		
17	Параметр17	0	0	G17		
18	Параметр18	0	0	G18		G11
19	Параметр19	0	0	G19		
20	Параметр20	0	0	G20		
21	Параметр21	0	0	G21		G12
22	Параметр22	0	0	G22		
23	Параметр23	0	0	G23		
24	Параметр24	0	0	G24		G13
25	Параметр25	0	0	G25	J25	
26	Параметр26	0	0	G26	J26	
27	Параметр27	0	0	G27	J27	G14
28	Параметр28	0	0	G28	J28	
29	Параметр29	0	0	G29	J29	
30	Параметр30	0	0	G30		G15
31	Параметр31	0	0	G31		
32	Параметр32	0	0	G32		
33	Параметр33	0	0	G33		G16
34	Параметр34	0	0	G34		
35	Параметр35	0	0	G35		
36	Параметр36	1	0	G36		G17
37	Параметр37	1	0	G37		
38	Параметр38	1	0	G38		
39	Параметр39	1	0	G39		G18
40	Параметр40	1	0	G40		
41	Параметр41	1	0	G41		
42	Параметр42	1	0	G42		G19
43	Параметр43	1	0	G43		
44	Параметр44	1	0	G44		
45	Параметр45	1	0	G45		G20
46	Параметр46	1	0	G46		
47	Параметр47	1	0	G47		
48	Параметр48	1	0	G48		G21
49	Параметр49	1	0	G49		
50	Параметр50	1	0	G50		
51	Параметр51	0	0	G51		G22
52	Параметр52	0	0	G52		
53	Параметр53	0	0	G53		
54	Параметр54	0	0	G54		G23
55	Параметр55	0	0	G55		
56	Параметр56	0	0	G56		
57	Параметр57	0	0	G57		G24
58	Параметр58	0	0	G58		
59	Параметр59	0	0	G59		
60	Параметр60	0	0	G60		G25
61	Параметр61	0	0	G61		
62	Параметр62	0	0	G62		
63	Параметр63	0	0	G63		G26
64	Параметр64	0	0	G64		
65	Параметр65	0	0	G65		
66	Параметр66	0	0	G66		G27
67	Параметр67	0	0	G67		
68	Параметр68	0	0	G68		
69	Параметр69	0	0	G69		G28
70	Параметр70	0	0	G70		
71	Параметр71	1	0	G71		
72	Параметр72	1	0	G72		G29
73	Параметр73	1	0	G73		
74	Параметр74	1	0	G74		
75	Параметр75	1	0	G75		G30
76	Параметр76	1	0	G76		
77	Параметр77	1	0	G77		
78	Параметр78	1	0	G78		G31
79	Параметр79	1	0	G79		
80	Параметр80	1	0	G80		
81	Параметр81	1	0	G81		G32
82	Параметр82	1	0	G82		
83	Параметр83	1	0	G83		
84	Параметр84	1	0	G84		G33
85	Параметр85	1	0	G85		
86	Параметр86	0	0	G86		
87	Параметр87	0	0	G87		G34
88	Параметр88	0	0	G88		
89	Параметр89	0	0	G89		
90	Параметр90	0	0	G90		G35
91	Параметр91	0	0	G91		
92	Параметр92	0	0	G92		
93	Параметр93	0	0	G93		G36
94	Параметр94	0	0	G94		
95	Параметр95	0	0	G95		
96	Параметр96	0	0	G96		G37
97	Параметр97	0	0	G97		
98	Параметр98	0	0	G98		
99	Параметр99	0	0	G99		G38
100	Параметр100	0	0	G100		
101	Параметр101	0	0	G101		
102	Параметр102	0	0	G102		G39
103	Параметр103	0	0	G103		
104	Параметр104	0	0	G104		
105	Параметр105	0	0	G105		G40
106	Параметр106	1	0	G106		
107	Параметр107	1	0	G107		
108	Параметр108	1	0	G108		G41
109	Параметр109	1	0	G109		
110	Параметр110	1	0	G110		
111	Параметр111	1	0	G111		G42
112	Параметр112	1	0	G112		
113	Параметр113	1	0	G113		
114	Параметр114	1	0	G114		G43
115	Параметр115	1	0	G115		
116	Параметр116	1	0	G116		
117	Параметр117	1	0	G117		G44
118	Параметр118	1	0	G118		
119	Параметр119	1	0	G119		
120	Параметр120	1	0	G120		G45
121	Параметр121	0	0	G121		
122	Параметр122	0	0	G122		
123	Параметр123	0	0	G123		G46
124	Параметр124	0	0	G124		
125	Параметр125	0	0	G125		
126	Параметр126	0	0	G126		G47
127	Параметр127	0	0	G127		
128	Параметр128	0	0	G128		
129	Параметр129	0	0	G129		G48
130	Параметр130	0	0	G130		
131	Параметр131	0	0	G131		
132	Параметр132	0	0	G132		G49
133	Параметр133	0	0	G133		
134	Параметр134	0	0	G134		
135	Параметр135	0	0	G135		G50
136	Параметр136	0	0	G136		
137	Параметр137	0	0	G137		
138	Параметр138	0	0	G138		G51
139	Параметр139	0	0	G139		
140	Параметр140	0	0	G140		
141	Параметр141	1	0	G141		G52
142	Параметр142	1	0	G142		
